Phone Name,Condition,Price,Shipping Cost,Location,Seller Info,Quantity Sold
Apple iPhone 13  - 128GB -   All Colours 5G Excellent Pristine A+ with Apple Box,New (Other),$517.72,+$65.70 shipping estimate,from United Kingdom,"tradersplusltd (14,802) 99.5%",124+ sold
Apple iPhone 12 - 64GB-128GB - All Colors - Fully Unlocked- VERY GOOD Condition,Very Good - Refurbished,$269.99,+$34.10 shipping,from United States,"gadget-solutions (4,245) 97.8%",99+ sold
New Apple iPhone 12 64GB A2172 Factory Unlocked All Mobile Carriers All Colors,Brand New,$359.99,+$36.75 shipping,from United States,"mistyelectronics (132,792) 99.3%",36+ sold
BRAND NEW | Apple iPhone 11 - 64 GB - Black (Unlocked),Brand New,$289.99,+$43.49 shipping,from United States,discount_phone (125) 98.8%,51 sold
Apple iPhone 12|iPhone 7-32GB|128GB-All Colors Unlocked-Excellent Condition AY,Pre-Owned,$109.76 to $282.19,+$7.99 shipping,from China,taicangrongheton-0 (1) 100%,Quantity sold not found
Apple iPhone X (iPhone 10) 64GB 256GB All Colours Unlocked- Excellent Grade A,Excellent - Refurbished,$196.61,+$54.61 shipping estimate,from United Kingdom,"onemoremobile (19,941) 99.5%","1,185+ sold"
Apple iPhone 15 Pro - 256GB - Unlocked - Black Titanium - Brand New,Brand New,$969.00,+$55.16 shipping,from United States,"buybackboss (17,819) 98.8%",15 sold
Apple iPhone 12 - 256GB - Factory Unlocked - All Colors - Very Good,Very Good - Refurbished,$319.85,+$35.57 shipping,from United States,"eazytrade84 (99,310) 98.8%",51+ sold
Apple iPhone 14 - 128GB 256GB 512GB - All Colors - Excellent Condition,Excellent - Refurbished,$421.00 to $479.00,+$38.55 shipping,from United States,"buybackboss (17,819) 98.8%",Quantity sold not found
New ListingAPPLE IPHONE 14 PRO MAX 512 GB DEEP PURPLE,Pre-Owned,"$1,013.66",+$99.16 shipping,from Belgium,"steedpeel007 (1,214) 100%",Quantity sold not found
Apple iPhone 14 | 14 Plus - 128GB | 256GB | 512GB (Unlocked) Smartphone,Very Good - Refurbished,$429.95 to $499.95,+$40.74 shipping,from United States,"uki-mobile (3,327) 99.2%",Quantity sold not found
New Listing$100 off or more NEW Unlocked Apple IPHONE 14 PRO MAX 128GB 5G NFC,Brand New,"$1,197.09",+$22.85 shipping,from Australia,nobiklug (574) 100%,Quantity sold not found
Apple iPhone 11 64GB 128GB 256GB All Colors (Unlocked) - Good,Good - Refurbished,$199.99,+$32.03 shipping,from United States,"cellularprofessor (17,383) 98.9%",70+ sold
iPhone 13 - 128GB - Network Locked - Pre-Owned Very Good Condition,Very Good - Refurbished,$309.99,+$35.28 shipping,from United States,"electro-wireless (30,330) 97%",89+ sold
Apple iPhone 13 128GB 5G Midnight (AT&T) GSM UNLOCKED NEW OTHER SEALED BOX,Open Box,$424.55,+$39.10 shipping,from United States,"extremediscountla (18,174) 98.8%",11 sold
Apple iPhone 13 - 128GB 256GB 512GB - All Colors - Excellent Condition,Excellent - Refurbished,$373.00 to $493.00,+$38.61 shipping,from United States,"buybackboss (17,819) 98.8%",37+ sold
iPhone 14 Pro 128GB Factory Unlocked,Open Box,$620.00,+$54.19 shipping,from United States,keeesp_0 (22) 100%,Quantity sold not found
"Apple iPhone 13 Mini 5G 5.4"" 128GB 256GB 512GB Factory Unlocked (Any Carrier)",Open Box,$399.99 to $449.99,+$39.85 shipping,from United States,"sigmacellular (130,884) 96.5%",52+ sold
Apple iPhone 11 - 64GB - All Colors - Factory Unlocked - *GOOD* Condition,Good - Refurbished,$192.99,+$31.83 shipping,from United States,"gadget-solutions (4,245) 97.8%",829+ sold
New Apple iPhone 13 A2482 256GB Factory Unlocked All Mobile Carriers All Colors,Brand New,$521.99,+$41.53 shipping,from United States,"mistyelectronics (132,792) 99.3%",35+ sold
New Apple iPhone 13 Mini 128GB A2481  Factory Unlocked for All Carriers,Brand New,$464.99,+$39.85 shipping,from United States,"mistyelectronics (132,792) 99.3%",22+ sold
Apple iPhone 13 Pro Max 128GB / 256GB  All Colours 5G Pristine A+ with Apple Box,New (Other),$740.56,+$73.38 shipping estimate,from United Kingdom,"tradersplusltd (14,802) 99.5%",Quantity sold not found
Apple iPhone XR 64GB Unlocked Smartphone [Black] - Very Good Condition Overall,Pre-Owned,$145.50,+$52.85 shipping estimate,from United Kingdom,"thehardwarepros (1,959) 99.4%",15 sold
Apple iPhone 13 - 128GB | 256GB - Unlocked AT&T T-Mobile Verizon Metro Cricket,Open Box,$329.95 to $419.95,+$37.93 shipping,from United States,"tech-hobbies (5,306) 99.7%",Quantity sold not found
Apple iPhone 11 - 64GB 128GB 256GB - All Colors - Good Condition,Good - Refurbished,$170.00 to $265.00,+$33.18 shipping,from United States,"buybackboss (17,819) 98.8%",124+ sold
Apple iPhone SE 3rd Gen 2022 Fully Unlocked GSM/CDMA 5G SmartPhone 64GB 128GB,Open Box,$218.99 to $323.99,+$35.69 shipping,from United States,"sami809 (256,490) 97.9%",127+ sold
Apple iPhone 11 Pro Max - 512 GB - Gray (Unlocked) (CA),Pre-Owned,$232.64,Shipping not specified,from Canada,"lamtcgs (2,647) 99.9%",Quantity sold not found
Apple iPhone 8 Factory Unlocked 64GB 128GB 256GB AT&T T-mobile Verizon,Open Box,$108.99,+$29.35 shipping,from United States,"sami809 (256,490) 97.9%",535+ sold
New ListingApple iPhone 15 Plus 5G 256GB Black - Unlocked New & Sealed,Brand New,"$1,074.88",+$111.33 shipping estimate,from United Kingdom,chaujas1 (233) 100%,Quantity sold not found
NEW Apple iPhone SE 2020 2nd GEN 64GB 128GB 256GB Unlocked Smartphone Re- SEALED,New (Other),$144.18,+$52.80 shipping estimate,from United Kingdom,"ontel2019 (12,327) 97.8%","1,778+ sold"
Apple iPhone 15 256GB Unlocked Smartphone - Excellent,Excellent - Refurbished,$659.95,+$45.60 shipping,from United States,"bidallies (350,337) 98.4%",Quantity sold not found
