Phone Name,Condition,Price,Shipping Cost,Location,Seller Info,Quantity Sold
iPhone 1st 8GB Pice Collection,Pre-Owned,"$3,195.22",+$38.56 shipping,from Spain,armavazq_g1k1jnm (13) 0%,Quantity sold not found
Apple iPhone 8 Plus - 64GB 128GB 256GB Unlocked Variants - 15% EXTRA OFF - GOOD,Good - Refurbished,$190.06,+$54.39 shipping estimate,from United Kingdom,"handtec (131,659) 99.1%",28+ sold
Apple iPhone SE 2nd Generation 64GB White UNLOCKED * NEW Condition * with Box,Open Box,$179.99,+$31.44 shipping,from United States,"thebluepanther (1,600) 100%",Quantity sold not found
Great Apple iphone 14 Plus 14+ Factory Unlocked 128GB A2632  1Y Extended W,Excellent - Refurbished,$528.99,+$41.74 shipping,from United States,"edwinlion (18,635) 100%",Quantity sold not found
"Apple iPhone 11, 64GB, Purple - Faulty, see description",Parts Only,$117.98,+$58.57 shipping estimate,from United Kingdom,"urban-tech4 (1,137) 100%",Quantity sold not found
Apple iPhone 1st Generation - 8GB - Black (AT&T) A1203 (GSM) A80,Pre-Owned,$55.00,+$16.90 shipping,from United States,sellingtech14 (567) 100%,Quantity sold not found
Apple iPhone 12 128GB Unlocked,Good - Refurbished,$386.69,+$61.18 shipping estimate,from United Kingdom,wisetek-store-uk (688) 99.8%,Quantity sold not found
【Big Sale】Apple iPhone 5S-16GB|32GB|64GB-All Colors Unlocked-Excellent,Pre-Owned,$33.56 to $50.19,+$7.99 shipping,from China,communicationdigital (0) 0%,Quantity sold not found
Apple iPhone SE 3rd Gen 128GB Midnight Unlocked Very Good Condition,Very Good - Refurbished,$234.99,+$33.07 shipping,from United States,"itsworthmore (83,680) 98.7%",Quantity sold not found
"Apple iPhone 6S Smartphone, Grey Space - Apple LOCKED",Pre-Owned,$36.69,+$49.10 shipping estimate,from United Kingdom,"brandbonanza (23,774) 99.1%",Quantity sold not found
New ListingApple iPhone 6s Plus-16GB-All Colors Network Unlocked Smartphone-Good 0g$U,Pre-Owned,$65.89,+$7.99 shipping,from China,communicationdigital (0) 0%,Quantity sold not found
New ListingApple iPhone 6s Plus-16GB-All Colors Network Unlocked Smartphone-Good 09G4,Pre-Owned,$65.89,+$7.99 shipping,from China,communicationdigital (0) 0%,Quantity sold not found
Apple iPhone 4 -8/ 16/32GB - White Black (Unlocked) IOS 7 used smartphone cheap,Pre-Owned,$20.00 to $26.00,+$7.00 shipping,from China,xmb-0412 (150) 86.7%,Quantity sold not found
"Apple iphone 2G 1st Generation 8G Not working, damaged, using parts,wholesale",Parts Only,$9.99 to $39.00,+$7.00 shipping,from China,xmb-2018 (264) 88.7%,Quantity sold not found
New ListingApple iPhone 6 Plus-64GB-Random Color Unlocked iOS Smartphone-Excellent OnPF,Pre-Owned,$73.89,+$7.99 shipping,from China,communicationdigital (0) 0%,Quantity sold not found
Apple IPHONE 16 Pro 1TB Titanium Black New,Brand New,"$2,663.96",+$41.08 shipping,from Germany,"onlinehandel--mcqueen (5,920) 100%",Quantity sold not found
NEW Apple iPhone SE 32GB Silver (Unlocked) A1723 (CDMA + GSM) Unlocked & Reset,Brand New,$183.17,+$60.71 shipping estimate,from United Kingdom,azyttvo (403) 100%,Quantity sold not found
Apple iPhone 11 Pro Max|7-32GB|64GB-All Colors Unlocked-Good Condition CI,Pre-Owned,$318.49,+$7.99 shipping,from China,taicangrongheton-0 (1) 100%,Quantity sold not found
"iPhone 11 Pro A2160 UNLOCKED for all carriers, all colors+GB - Good Condition",Open Box,$249.99,+$33.51 shipping,from United States,goldstar_exclusives (460) 98.8%,Quantity sold not found
New ListingApple iPhone 7-128GB-Random Colors Network Unlocked iOS Smartphone-Very Good v60,Pre-Owned,$119.76,+$7.99 shipping,from China,communicationdigital (0) 0%,Quantity sold not found
NEW Apple iPhone 6 Plus - 16 GB Gold Boost Mobile iOS 8.2 RARE,Brand New,$99.89,+$29.08 shipping,from United States,"cellular-resource (21,902) 97.3%",Quantity sold not found
Apple iPhone XR - 64 GB - Black (Unlocked),Open Box,$200.00,+$39.27 shipping,from United States,fnaureen2015 (135) 100%,Quantity sold not found
Brand New Apple Iphone 8 64 GB FACTORY SEALED Space Gray  AT&T APPLE  WARRANTY,Brand New,$799.99,+$50.18 shipping,from United States,"wirelesshutt (18,517) 97.2%",Quantity sold not found
Apple The iPhone 1st Generation - 8GB - Black (O2) A1203 (GSM) - Very Rare,Pre-Owned,"$2,620.39",+$142.88 shipping estimate,from United Kingdom,damianoyamaha (979) 100%,Quantity sold not found
"Apple iPhone 6 16GB 64GB 128GB Space Grey, Silver Gold, Unlocked Good Condition",Pre-Owned,$74.71,+$50.42 shipping estimate,from United Kingdom,"innofinity-worldwide (126,261) 98.7%",132+ sold
Apple iPhone 11 Pro - 64GB 256GB - AT&T - All Colors - Good,Good - Refurbished,$289.85 to $409.85,+$36.01 shipping,from United States,"eazytrade84 (99,310) 98.8%",Quantity sold not found
Working Used Apple iPhone 8 Product Red 64GB (AT&T) A1905 (GSM) MRRP2LL/A,Pre-Owned,$99.97,+$30.00 shipping,from United States,"bulk_man (25,442) 99.8%",Quantity sold not found
6.1'' iPhone XR GSM CDMA 64GB/128GB/256GB Cell Phone,Pre-Owned,$215.00 to $252.00,Free International Shipping,from China,"winwin2010 (19,094) 97.3%",Quantity sold not found
iPhone 8 + 17  iphone 8 phone cases,Pre-Owned,$104.87,+$53.48 shipping estimate,from United Kingdom,isobelcandy (879) 100%,Quantity sold not found
APPLE IPHONE 14 PRO MAX - 1TB - SPACE BLACK (FACTORY UNLOCKED) US MODEL ✤O/B✤,Open Box,$998.95,+$55.60 shipping,from United States,"santamonicawireless (32,072) 98.9%",Quantity sold not found
*AS-IS* Apple iPhone SE A2275 64GB Black Verizon Touchscreen Smartphone,Parts Only,$49.95,+$68.55 shipping,from United States,"asiselectronic (6,528) 99.1%",Quantity sold not found
Apple iPhone 12 Pro Max 128GB Graphite Unlocked Excellent Condition,Excellent - Refurbished,$479.99,+$40.74 shipping,from United States,"itsworthmore (83,680) 98.7%",Quantity sold not found
Apple iPhone 6 Plus - 128GB - Space Gray (Verizon) A1522 (CDMA + GSM),Open Box,$230.00,Free International Shipping,from China,mobilephone (272) 93.6%,Quantity sold not found
Apple iPhone 13 Pro Max 512GB Unlocked Smartphone - Very Good,Very Good - Refurbished,$636.95,+$45.37 shipping,from United States,"bidallies (350,337) 98.4%",Quantity sold not found
"99% N ew , tested,  100% working  Apple iphone 6 plus 16GB Space Gray  Unlocked",Open Box,$87.00,Free International Shipping,from China,mobilephone (272) 93.6%,Quantity sold not found
New ListingApple iPhone 6 Plus-64GB-Random Color Unlocked iOS Smartphone-Excellent gNNa,Pre-Owned,$73.89,+$7.99 shipping,from China,communicationdigital (0) 0%,Quantity sold not found
New ListingApple iPhone 6 Plus-64GB-Random Color Unlocked iOS Smartphone-Excellent KuCB,Pre-Owned,$73.89,+$7.99 shipping,from China,communicationdigital (0) 0%,Quantity sold not found
Apple iPhone 13 A2482 AT&T Only 256GB Midnight Very Good,Very Good - Refurbished,$389.99,+$37.64 shipping,from United States,"yywirelesss (143,054) 97.7%",Quantity sold not found
Apple iPhone 12 Pro Max A2342 Unlocked 256GB Pacific Blue Very Good,Very Good - Refurbished,$489.99,+$40.59 shipping,from United States,"yywirelesss (143,054) 97.7%",Quantity sold not found
Apple iPhone X|iPhone XR-64GB/128GB/256GB-All Colors Unlocked-Excellent 05?k,Pre-Owned,$123.79 to $176.69,+$7.99 shipping,from China,communicationdigital (0) 0%,Quantity sold not found
Apple iPhone 12 Pro Max A2342 Unlocked 128GB Pacific Blue Very Good,Very Good - Refurbished,$469.99,+$40.00 shipping,from United States,"yywirelesss (143,054) 97.7%",Quantity sold not found
Apple iPhone 3GS - Black  A1303 (GSM) - spares or repair,Pre-Owned,$13.10,+$66.18 shipping estimate,from United Kingdom,westmerian-uk (611) 100%,Quantity sold not found
"New Apple iPhone 13 6.1"" Dual Sim 128GB 256GB 512GB IP68 Phone By FedEx",Brand New,"$1,198.18 to $1,598.18",+$42.00 shipping,from Hong Kong,"bq_shop (18,180) 90.3%",Quantity sold not found
New ListingApple iPhone 8 - 64 GB - Space Grey (Unlocked) - Stuck in Restore,Parts Only,$45.87,+$49.42 shipping estimate,from United Kingdom,"innofinity-worldwide (126,261) 98.7%",Quantity sold not found
Apple iPhone 15 A2846 US Cellular Only 128GB Black Very Good,Very Good - Refurbished,$469.99,+$40.00 shipping,from United States,"yywirelesss (143,054) 97.7%",Quantity sold not found
Apple iPhone se 2022 64gb unlocked to all network Starlight 87%BH  Excellent Con,Excellent - Refurbished,$287.08,+$57.74 shipping estimate,from United Kingdom,"centu_2015 (13,568) 99.8%",Quantity sold not found
Apple iPhone XR (PRODUCT)RED - 64GB AT&T A1984 For parts,Parts Only,$99.99,+$67.90 shipping,from United States,empiresdust (870) 94.2%,Quantity sold not found
Apple iPhone SE 3rd Gen. - 64GB With FREE 1st month Simple Mobile $50 plan! VZW!,Open Box,$139.95,+$30.26 shipping,from United States,sasocce0 (151) 100%,Quantity sold not found
Apple iPhone 14 Pro 1TB Unlocked AT&T T-Mobile Verizon Good Condition,Good - Refurbished,$709.95,+$47.52 shipping,from United States,"supplytronics (109,827) 98.4%",8+ sold
Apple iPhone 11 64GB Green Unlocked Good,Good - Refurbished,$207.68,+$32.26 shipping,from United States,"trd_digital (6,046) 99.7%",Quantity sold not found
【Worldwide delivery】Apple iPhone X|5s-32GB|64GB-ALL COLORS Unlocked-Excellent Z,Pre-Owned,$41.26 to $123.79,+$7.99 shipping,from China,mobiledigitalproducts (1) 100%,Quantity sold not found
Apple iPhone 5 16GB White (A1429) Unlocked & Working,Pre-Owned,$36.90,+$17.34 shipping,from Australia,"ylrgoods (3,085) 98.5%",Quantity sold not found
Apple iPhone 14 (PRODUCT)RED - 128GB - REFURBISHED ENJOY - E-SIM only,Good - Refurbished,$661.07,+$35.26 shipping,from Italy,enjoystoreit (565) 94.4%,Quantity sold not found
Very Good Apple iPhone 4 4S 8 16 32 64GB iOS 6 7 9 Unlocked 3G Smartphone in BOX,Pre-Owned,$34.00 to $90.00,Free International Shipping,from China,used-phone-working-perfectly (281) 95.4%,Quantity sold not found
"New Apple iPhone 13 6.1"" A2634 Real Dual Sim 128GB IP68 Phone By FedEx",Brand New,"$1,060.69",+$42.00 shipping,from Hong Kong,"bq_shop (18,180) 90.3%",6+ sold
Boxed Apple iPhone 5s A1533 16GB - Unlocked- Silver (ME297LL/A),Open Box,$699.99,+$47.23 shipping,from United States,"pcmonde (9,016) 99.5%",Quantity sold not found
New Apple iPhone 5s - 16GB - Space Gray (unlocked) Smartphone- Open Box Unused,Open Box,$39.99,+$35.75 shipping,from United States,"lifeaftersixty2 (5,641) 100%",Quantity sold not found
Apple iPhone 14 - 128GB 256GB 512GB - Blue In Good Condition At@t Only,Open Box,$595.00,+$52.98 shipping,from United States,"iphonerepairspot11 (1,212) 100%",Quantity sold not found
Apple iPhone 12 Pro 128GB Unlocked,Good - Refurbished,$525.64,+$65.96 shipping estimate,from United Kingdom,wisetek-store-uk (688) 99.8%,Quantity sold not found
Apple iPhone XS 64gb Black,Parts Only,$111.42,+$51.67 shipping estimate,from United Kingdom,sbs-eu (682) 98.7%,Quantity sold not found
"Apple iPhone 5c Smartphone (Unlocked), 16GB.",Pre-Owned,$62.86,+$50.00 shipping estimate,from United Kingdom,"alexxi2003-65 (3,102) 100%",Quantity sold not found
New ListingApple iPhone 6s Plus-64GB-All Colors Network Unlocked iOS Smartphone-Good 2$Ki,Pre-Owned,$81.69,+$7.99 shipping,from China,communicationdigital (0) 0%,Quantity sold not found
New ListingApple iPhone 6s Plus-64GB-All Colors Network Unlocked iOS Smartphone-Good 2HBl,Pre-Owned,$81.69,+$7.99 shipping,from China,communicationdigital (0) 0%,Quantity sold not found
New ListingApple iPhone 11 - 64GB - White (Unlocked) A2221 (GSM),Pre-Owned,$221.53,+$67.26 shipping estimate,from United Kingdom,jasmine1307 (487) 100%,Quantity sold not found
【lowest price online】Apple iPhone XS-5.8'' 64GB-Unlocked -7wU3,Pre-Owned,$140.29,+$7.99 shipping,from China,electronicworid-2 (1) 100%,Quantity sold not found
Apple iPhone 13 - 128GB - Starlight (Unlocked),Pre-Owned,$495.81,+$27.55 shipping,from France,leelfa89 (0) 0%,Quantity sold not found
6.5'' IPhone XS MAX GSM CDMA 64GB/256GB/512GB Cell Phone,Pre-Owned,$227.00 to $324.00,Free International Shipping,from China,"winwin2010 (19,094) 97.3%",Quantity sold not found
Apple iPhone SE (2020) 64GB Unlocked Phone Red - Extra 15% OFF - EXCELLENT AAA+,Excellent - Refurbished,$262.16,+$56.88 shipping estimate,from United Kingdom,"handtec (131,659) 99.1%",Quantity sold not found
Apple iPhone 8 Plus-64GB|256GB-All Colors Network Unlocked-Good 28-H1,Pre-Owned,$139.16 to $184.26,+$7.99 shipping,from China,taicangrongheton-0 (1) 100%,Quantity sold not found
【BEST】Apple iPhone 11 Pro-64GB-5.8'' HD Display Front 12MP Rear 12MP-Unlocked FR,Pre-Owned,$255.69,+$7.99 shipping,from China,taicangrongheton-0 (1) 100%,Quantity sold not found
Shop on eBay,Brand New,$20.00,Shipping cost not found,Location not found,Seller info not found,Quantity sold not found
Shop on eBay,Brand New,$20.00,Shipping cost not found,Location not found,Seller info not found,Quantity sold not found
【Spot delivery】Apple iPhone 8|5s-16GB|64GB-ALL COLORS Unlocked-Excellent DS,Pre-Owned,$33.56 to $99.56,+$7.99 shipping,from China,taicangrongheton-0 (1) 100%,Quantity sold not found
Apple iPhone XR-64GB-All Colors Unlocked Smartphone-Excellent YW-CR,Pre-Owned,$150.19,+$7.99 shipping,from China,taicangrongheton-0 (1) 100%,Quantity sold not found
Apple iPhone 7 Plus-128GB-All Colors Network Unlocked iOS Smartphone-Good C42Y,Pre-Owned,$136.79,+$7.99 shipping,from China,taicangrongheton-0 (1) 100%,Quantity sold not found
【GOOD】Apple iPhone 5s-64GB-All Colors Network Unlocked Smartphone-Excellent ApL,Pre-Owned,$51.56,+$7.99 shipping,from China,taicangrongheton-0 (1) 100%,Quantity sold not found
Apple IPHONE 16 Pro Max 256GB Titanium Natural Nature New,Brand New,"$2,212.48",+$40.94 shipping,from Germany,"onlinehandel--mcqueen (5,920) 100%",Quantity sold not found
Apple iPhone 14 A2649 US Cellular Only 128GB Midnight Very Good,Very Good - Refurbished,$369.99,+$37.05 shipping,from United States,"yywirelesss (143,054) 97.7%",Quantity sold not found
New Listing Apple iPhone 4 16GB Black Boxed Mobile Smart Phone  Vodafone,Pre-Owned,$36.05,+$57.57 shipping estimate,from United Kingdom,thewinterbay (617) 100%,Quantity sold not found
Apple iPhone SE (2022) - 64 GB - Black (T-Mobile) (Single SIM),Pre-Owned,$130.00,+$43.48 shipping,from United States,miros1598 (1) 100%,Quantity sold not found
Apple iPhone SE 3rd Gen (2022) - 128GB - Midnight - REFURBISHED ENJOY,Good - Refurbished,$352.56,+$35.26 shipping,from Italy,enjoystoreit (565) 94.4%,Quantity sold not found
"Apple iPhone 12-64GB|128GB-All Color Unlocked-Excellent condition  76""",Pre-Owned,$244.60 to $282.19,+$7.99 shipping,from China,mobiletechsales0 (0) 0%,Quantity sold not found
Apple iPhone 11 Pro Max|XR|XS|X|8|7|6s Plus|6s|5s-Without call function-Good *^v,Pre-Owned,$28.39 to $91.18,+$7.99 shipping,from China,electronicdigitalproducts (1) 60%,Quantity sold not found
Apple iPhone 6S - 16GB 32GB 64GB 128GB - All Colors - Good Condition,Good - Refurbished,$58.00 to $70.00,+$27.99 shipping,from United States,"buybackboss (17,819) 98.8%",63+ sold
【WiFi】Apple iPhone 11-64GB-Not support SIM card（Only support WiFi)-Good,Pre-Owned,$120.69,Free International Shipping,from China,electronicdigitalproducts (1) 60%,Quantity sold not found
"【Golden delivery】Apple iPhone 11-64GB-FRONT 12MP REAR 12MP Unlocked-Excellent ""`",Pre-Owned,$210.69,+$7.99 shipping,from China,taicangrongheton-0 (1) 100%,Quantity sold not found
【On Sale】Apple iPhone 6-16GB-Random Color Netwoek Unlocked Very Good Condition,Pre-Owned,$50.06,+$7.99 shipping,from China,taicangrongheton-0 (1) 100%,Quantity sold not found
【On Sale】Apple iPhone 12 Pro-128GB-All Colors Unlocked-Excellent Condition 6UI,Pre-Owned,$365.76,+$7.99 shipping,from China,mobiletechsales0 (0) 0%,Quantity sold not found
Apple iPhone 6s-16GB-All Colors Network Unlocked Smartphone【Grade B】TWXmT,Pre-Owned,$57.79,+$7.99 shipping,from China,communicationdigital (0) 0%,Quantity sold not found
Apple iPhone 11 - 64GB - White A2111 (CDMA + GSM),Open Box,$250.00,+$34.71 shipping,from United States,keibo4215 (0) 0%,Quantity sold not found
Apple iPhone 11 Pro - 256GB - Midnight Green TWITTER,Pre-Owned,"$1,322.16",+$33.05 shipping,from Italy,chris.chris.chris (120) 100%,Quantity sold not found
APPLE IPHONE- 14 PLUS - 128 GB - BLUE (UNLOCKED),Open Box,$650.00,+$62.55 shipping,from United States,catwomen.718 (247) 100%,Quantity sold not found
【GOOD】Apple iPhone 5s-64GB-All Colors Network Unlocked Smartphone-Excellent ApL,Pre-Owned,$51.56,+$7.99 shipping,from China,taicangrongheton-0 (1) 100%,Quantity sold not found
Iphone XR preowned,Pre-Owned,$196.63,+$58.32 shipping estimate,from United Kingdom,cloudycreations (28) 100%,Quantity sold not found
Apple iPhone 11-64GB-Random Color Network Unlocked-Grade A Condition W0-Y6,Pre-Owned,$210.69,+$7.99 shipping,from China,taicangrongheton-0 (1) 100%,Quantity sold not found
Apple iPhone 12 64GB Black (Without Simlock) (Dual SIM),Pre-Owned,$352.58,+$5.50 shipping,from Luxembourg,shawag-31 (0) 0%,Quantity sold not found
Apple iPhone 13 Pro 512GB Green - Unlocked AT&T T-Mobile Verizon GSM 7592227,Open Box,$639.00,+$45.43 shipping,from United States,"thegizmotrader (84,132) 98.9%",Quantity sold not found
Apple iPhone 15 128GB T-Mobile Locked Very Good Condition,Very Good - Refurbished,$579.95,+$43.69 shipping,from United States,"supplytronics (109,827) 98.4%",Quantity sold not found
"iPhone 12, 64GB, Used condition NN",Pre-Owned,$327.71,+$70.86 shipping estimate,from United Kingdom,"urban-tech4 (1,137) 100%",Quantity sold not found
"Apple iPhone 4s Smartphone (Unlocked), 16GB.",Pre-Owned,$52.42,+$49.64 shipping estimate,from United Kingdom,"alexxi2003-65 (3,102) 100%",Quantity sold not found
【Smooth operation】Apple iPhone 12 Pro-128GB-All Color Unlocked-Excellent )LQ,Pre-Owned,$365.76,+$7.99 shipping,from China,taicangrongheton-0 (1) 100%,Quantity sold not found
【Golden delivery】Apple iPhone 11-64GB-FRONT 12MP REAR 12MP Unlocked-Excellent IJ,Pre-Owned,$210.69,+$7.99 shipping,from China,taicangrongheton-0 (1) 100%,Quantity sold not found
Apple iPhone 7 - 32 GB - Black (Unlocked) (CA),Pre-Owned,$59.08,+$35.45 shipping,from Canada,telltell903 (95) 98%,Quantity sold not found
"Apple, iPad Air 16GB White, 1st Gen,  Single Owner, Gently Use, 100% Working",Pre-Owned,$40.00,+$35.00 shipping,from Canada,"comicbook.stuff (1,015) 100%",Quantity sold not found
iPhone 7Plus 128 GB RED Unlocked SIM free Battery 100% Confirmed Operation 307,Pre-Owned,$129.99,Free International Shipping,from Japan,irepairworks1200 (83) 100%,Quantity sold not found
Apple iPhone 14 A2649 Unlocked 128GB Red Good,Good - Refurbished,$440.00,+$39.11 shipping,from United States,"yywirelesss (143,054) 97.7%",Quantity sold not found
Privacy Tempered Glass Screen Protector For iPhone 15 14 12 13 11 X 7 Gorilla,Brand New,$6.54 to $9.16,+$6.55 shipping,from United Kingdom,"trends_tech (1,744) 97.3%",Quantity sold not found
iphone se2020 2ND  gen  unlocked,Pre-Owned,$170.28,+$63.93 shipping estimate,from United Kingdom,unwanted808 (154) 100%,Quantity sold not found
Apple iPhone 7 (PRODUCT) RED - 128GB - SIM FREE Unlocked UK Excellent,New (Other),$195.32,+$54.57 shipping estimate,from United Kingdom,"snapupdirect (14,396) 99.4%",Quantity sold not found
Apple iPhone 6S 64GB (Unlocked) GSM Smartphone - Silver,Pre-Owned,$52.43,+$56.20 shipping estimate,from United Kingdom,vejita2002 (866) 100%,Quantity sold not found
Apple iPhone 11-128GB-FRONT 12MP REAR 12MP Unlocked-Excellent Condition BL,Pre-Owned,$221.69,+$7.99 shipping,from China,taicangrongheton-0 (1) 100%,Quantity sold not found
Apple iPhone 6s-128GB-All Colors Network Unlocked iOS Smartphone-Good J0B6,Pre-Owned,$86.69,+$7.99 shipping,from China,taicangrongheton-0 (1) 100%,Quantity sold not found
New ListingApple iPhone SE 2020 64GB Black Unlocked 97% Battery Health.,Pre-Owned,$117.96,+$51.90 shipping estimate,from United Kingdom,"cps.elec_82 (1,114) 99%",Quantity sold not found
iPhone 12 - 128GB - Blue - Featuring the Twitter app with the old logo,Pre-Owned,"$1,431.24",+$38.56 shipping,from Italy,bigandre.23 (61) 0%,Quantity sold not found
Apple Iphone 16 Pro 128GB Titanium Titan Weiss White NEU,Brand New,"$1,887.69",+$40.76 shipping,from Germany,"onlinehandel--mcqueen (5,920) 100%",Quantity sold not found
"Apple iPhone 13 6.1"" Real Dual Sim 128GB IP68 Phone By FedEx",Brand New,"$1,207.63",+$45.88 shipping,from Hong Kong,globaltone (355) 93.1%,Quantity sold not found
New ListingApple iPhone 7-128GB-Random Colors Network Unlocked iOS Smartphone-Very Good PYV,Pre-Owned,$119.76,+$7.99 shipping,from China,communicationdigital (0) 0%,Quantity sold not found
Apple iPhone 12 mini - 256GB - Fully Unlocked (2020) - Good Condition,Good - Refurbished,$265.97,+$33.98 shipping,from United States,"tekreplay (101,682) 96.1%",Quantity sold not found
Apple iPhone 11 Pro - 512GB - Fully Unlocked - (ALL CARRIERS) - GOOD Condition,Good - Refurbished,$289.99,+$34.69 shipping,from United States,"gadget-solutions (4,245) 97.8%",Quantity sold not found
Apple iPhone 5C Disassembled Frame - Framed Art & Technology,Pre-Owned,$77.13,+$38.56 shipping,from Italy,kedon-2615 (14) 100%,Quantity sold not found
Apple iPhone 12 mini A2176 AT&T Only 128GB Black Very Good,Very Good - Refurbished,$189.99,+$31.74 shipping,from United States,"yywirelesss (143,054) 97.7%",Quantity sold not found
Apple IPHONE 16 Pro 256GB Titanium Natural Nature New,Brand New,"$1,997.70",+$41.08 shipping,from Germany,"onlinehandel--mcqueen (5,920) 100%",Quantity sold not found
iPhone 8 - Unlocked - 64GB - Gray - Good,Good - Refurbished,$100.00,+$29.08 shipping,from United States,"buybackboss (17,819) 98.8%",155 sold
Apple iPhone 1st Generation - 8GB - Black (AT&T) A1203 (GSM) B7,Pre-Owned,$46.00,+$16.90 shipping,from United States,sellingtech14 (567) 100%,Quantity sold not found
Apple iPhone 12 128GB Unlocked,Good - Refurbished,$386.69,+$61.18 shipping estimate,from United Kingdom,wisetek-store-uk (688) 99.8%,Quantity sold not found
Apple iPhone X|5s-32GB|64GB-ALL COLORS Unlocked-Excellent Condition [t[Nc,Pre-Owned,$41.26 to $123.79,+$7.99 shipping,from China,electronicdigitalproducts (1) 60%,Quantity sold not found
Apple iPhone 16 Pro 128GB Titanium Desert Sand NEW,Brand New,"$2,015.10",+$76.02 shipping,from Germany,"onlinehandel--mcqueen (5,920) 100%",Quantity sold not found
New Listing【Hot Sale】Apple iPhone 7-32GB-Random Colors Unlocked Smartphone-Very Good @iP,Pre-Owned,$79.76,+$7.99 shipping,from China,electronicworid-2 (1) 100%,Quantity sold not found
Apple iPhone 4 32GB Black (O2),Pre-Owned,$32.77,+$56.83 shipping estimate,from United Kingdom,"fusion_plc (4,438) 99.7%",Quantity sold not found
Apple iPhone 15 Pro 128GB Black Titanium Unlocked Excellent Condition,Excellent - Refurbished,$759.99,+$49.00 shipping,from United States,"itsworthmore (83,680) 98.7%",Quantity sold not found
Apple iPhone 12 - 64GB - Blue (Unlocked) - Refurbished EXCELLENT CONDITION,Excellent - Refurbished,$329.44,+$44.07 shipping,from Italy,irapidofficial (25) 87.9%,Quantity sold not found
SEALED  Fully working Apple iPhone SE 1st Gen  -64GB - Silver  (Unlocked)  phone,Open Box,$127.00,Free International Shipping,from China,we-will-rock-you (171) 97.4%,Quantity sold not found
Apple iPhone Xr 64/128/256gb Unlocked - A+ grade,Open Box,$199.00 to $239.00,+$32.00 shipping,from United States,"klymen-store (6,872) 96.2%",Quantity sold not found
Apple iPhone 8 Plus - 64GB - Black (Unlocked) - Cracked - Read Desc,Pre-Owned,$512.48,+$70.04 shipping estimate,from United Kingdom,ro-824935 (53) 100%,Quantity sold not found
Apple iPhone 15 Pro Max - 256GB - Natural Titanium - T-Mobile - Excellent,Excellent - Refurbished,$914.00,+$53.54 shipping,from United States,"buybackboss (17,819) 98.8%",Quantity sold not found
【Multicolor】Apple iPhone XR-64GB-All Colors Unlocked Smartphone-Excellent J,Pre-Owned,$150.19,+$7.99 shipping,from China,electronicdigitalproducts (1) 60%,Quantity sold not found
Apple iPhone 14 A2649 Unlocked 128GB Blue Good,Good - Refurbished,$439.99,+$39.11 shipping,from United States,"yywirelesss (143,054) 97.7%",Quantity sold not found
Working Apple iPhone 1st generation(iPhone 2G) 8GB Black A1203 Fully UNlocked,Pre-Owned,$89.91,Free International Shipping,from China,cuisiting-04 (15) 92.3%,Quantity sold not found
iPhone X,Refurbished,$203.83,+$22.04 shipping,from Spain,antonioas1 (179) 100%,Quantity sold not found
iPhone 2G 8GB 1st Generation USA Edition in Apple Slim BOX Packaging 1G 1st 1st,Pre-Owned,$549.80,+$66.00 shipping,from Germany,"world24trade (7,992) 99.6%",Quantity sold not found
Apple IPHONE 16 Pro 512GB Titanium Black New,Brand New,"$2,323.16",+$40.94 shipping,from Germany,"onlinehandel--mcqueen (5,920) 100%",Quantity sold not found
Apple iPhone 15 Plus A2847 AT&T Only 256GB Black Good,Good - Refurbished,$589.99,+$43.54 shipping,from United States,"yywirelesss (143,054) 97.7%",Quantity sold not found
Apple iPhone 12 64GB Unlocked,Good - Refurbished,$335.92,+$59.42 shipping estimate,from United Kingdom,wisetek-store-uk (688) 99.8%,Quantity sold not found
"Apple iPhone 7 Black Unlocked 32GB 128GB 256GB 4.7"" Display 12MP IOS Smartphone",Very Good - Refurbished,$85.19,+$50.77 shipping estimate,from United Kingdom,"lovemyphone (2,657) 0%",Quantity sold not found
Apple iPhone 14 A2649 Xfinity Only 128GB Blue Very Good,Very Good - Refurbished,$369.99,+$37.05 shipping,from United States,"yywirelesss (143,054) 97.7%",Quantity sold not found
Apple iPhone 5c - 13GB - Blue (Unlocked) A1529 (GSM),Pre-Owned,$25.56,+$55.27 shipping estimate,from United Kingdom,"dsrit (3,137) 100%",Quantity sold not found
Iphone 13 128Gb Unlocked Black Midnight,Pre-Owned,$428.34,Shipping not specified,from Canada,laboite-ouverte (18) 100%,Quantity sold not found
iPhone 11 Pro 256 GB Gold Unlocked (All Carriers) Premium Condition,Excellent - Refurbished,$345.00,+$36.75 shipping,from United States,"mobileworldny (6,926) 98.8%",Quantity sold not found
iPhone SE 3nd Gen 64 GB Black Unlocked SIM free Battery 100% Confirmed Operation,Pre-Owned,$287.00,Free International Shipping,from Japan,irepairworks1200 (83) 100%,Quantity sold not found
Apple iPhone 3GS 8GB Black (AT&T) A1303 (GSM) Very Good Used 70 Apps,Parts Only,$44.88,+$17.50 shipping,from United States,"oleschoolelectronics (5,298) 99.3%",Quantity sold not found
"Apple iPhone 5s Smartphone (Unlocked), 16GB **PLEASE READ DESCRIPTION**",Pre-Owned,$52.42,+$49.64 shipping estimate,from United Kingdom,"alexxi2003-65 (3,102) 100%",Quantity sold not found
